# adjudicator: task author/adjudicator (identity withheld for publication)
# adjudication_date: 2026-08-27
# source_sha256: 7dfc9e139254cc9480948af734988bdebc796c89c6e5d439055a248c251130cb
reviewer_candidate_id,final_routine_id,draft_start_time,draft_end_time,reviewer_start_time,reviewer_end_time,final_include,final_start_time,final_end_time,school,gymnast_name,beam_score,score_time,dismount_takeoff_time,dismount_takeoff_note,decision
R2-001,R01,00:03:41.800,00:05:00.510,00:03:42,00:04:58,TRUE,00:03:41.721,00:04:58.198,Stanford,Kaylee Cole,9.725,00:08:34.000,00:04:57.397,first source frame after final beam-foot contact,source frame review; mount initiation and first landing-mat foot contact
R2-002,R02,00:08:40.920,00:09:54.890,00:08:41,00:09:54,TRUE,00:08:40.754,00:09:54.127,Stanford,Rachael Flam,9.075,00:13:45.000,00:09:53.560,first source frame after final beam-foot contact,source frame review; first visible mount frame after camera cut and first foot contact
R2-003,R03,00:13:55.640,00:15:09.340,00:13:56,00:15:07,TRUE,00:13:55.535,00:15:07.774,Stanford,Elizabeth Price,9.825,00:18:55.000,00:15:06.839,first source frame after final beam-foot contact,source frame review; mount initiation and first foot contact
R2-004,R04,00:19:08.360,00:20:21.660,00:19:10,00:20:21,TRUE,00:19:09.548,00:20:21.153,Stanford,Lauren Navarro,9.775,00:23:54.000,00:20:20.152,first source frame after final beam-foot contact,source frame review; excluded salute and ended at first foot contact
R2-005,R05,00:24:01.760,00:25:20.160,00:24:02,00:25:19,TRUE,00:24:01.507,00:25:18.584,Stanford,Kyla Bryant,9.800,00:29:05.000,00:25:17.116,first source frame after final beam-foot contact,source frame review; mount weight transfer and first foot contact
R2-006,R06,00:29:14.040,00:30:26.640,00:29:14,00:30:25,TRUE,00:29:14.019,00:30:25.490,Stanford,Taryn Fitzgerald,9.850,00:32:37.750,00:30:24.923,first source frame after final beam-foot contact,source frame review; sixth score inferred as 48.975 - 48.200 + 9.075 = 9.850 when completed beam subtotal first becomes readable
R2-007,R07,00:35:55.540,00:37:10.330,00:35:55,00:37:09,TRUE,00:35:54.419,00:37:09.227,Arizona State,Cairo Leonard-Baker,9.750,00:40:46.000,00:37:08.526,first source frame after final beam-foot contact,source frame review; mount action visible in cropped broadcast frame and first foot contact
R2-008,R08,00:40:58.610,00:42:09.630,00:40:59,00:42:09,TRUE,00:40:58.556,00:42:08.893,Arizona State,Heather Udowitch,9.800,00:45:51.000,00:42:08.292,first source frame after final beam-foot contact,source frame review; mount initiation and first foot contact
R2-009,R09,00:45:59.040,00:47:08.540,00:45:59,00:47:07,TRUE,00:45:59.156,00:47:07.358,Arizona State,Anne Kuhm,9.850,00:50:53.000,00:47:06.590,first source frame after final beam-foot contact,source frame review; mount initiation and first foot contact
R2-010,R10,00:50:58.240,00:52:00.460,00:50:59,00:51:59,TRUE,00:50:58.589,00:51:59.650,Arizona State,Morgan Wilson,9.750,00:55:40.000,00:51:58.916,first source frame after final beam-foot contact,source frame review; excluded passive stance and ended at first foot contact
R2-011,R11,00:55:50.150,00:57:03.100,00:55:50,00:57:02,TRUE,00:55:49.880,00:57:02.352,Arizona State,Ashley Szafranski,9.875,01:01:00.000,00:57:01.685,first source frame after final beam-foot contact,source frame review; mount initiation and first foot contact
R2-012,R12,01:01:10.960,01:02:36.910,01:01:13,01:02:35,TRUE,01:01:12.335,01:02:34.884,Arizona State,Justine Callis,9.800,01:05:55.750,01:02:33.483,first source frame after final beam-foot contact,source frame review; sixth score inferred as 49.075 - 49.025 + 9.750 = 9.800 when completed beam subtotal first becomes readable
R2-013,R13,01:09:42.120,01:10:54.250,01:09:42,01:10:53,TRUE,01:09:42.178,01:10:53.082,Oregon State,McKenna Singley,9.850,01:14:14.000,01:10:52.482,first source frame after final beam-foot contact,source frame review; first visible mount frame after camera cut and first foot contact
R2-014,R14,01:14:25.020,01:15:45.300,01:14:25,01:15:43,TRUE,01:14:24.226,01:15:43.172,Oregon State,Alyssa Minyard,9.825,01:19:49.000,01:15:42.438,first source frame after final beam-foot contact,source frame review; active mount approach and first foot contact
R2-015,,,,01:20:00,01:21:08,FALSE,,,Oregon State,Kaitlyn Yanish,9.800,01:25:13.000,,excluded candidate; no scored takeoff,excluded; broadcast enters mid-routine with gymnast already on beam and mount not visible
R2-016,R15,01:25:23.290,01:26:36.450,01:25:25,01:26:35,TRUE,01:25:22.417,01:26:35.223,Oregon State,Maela Lazaro,9.850,01:30:12.000,01:26:34.423,first source frame after final beam-foot contact,source frame review; cartwheel mount initiation and first foot contact
R2-017,R16,01:30:21.360,01:31:34.860,01:30:22,01:31:34,TRUE,01:30:21.716,01:31:34.022,Oregon State,Sabrina Gill,9.800,01:36:13.000,01:31:33.421,first source frame after final beam-foot contact,source frame review; excluded passive stance and ended at first foot contact
R2-018,R17,01:36:33.520,01:37:46.460,01:36:35,01:37:45,TRUE,01:36:34.455,01:37:44.959,Oregon State,Destinee Davis,9.875,01:41:58.000,01:37:44.292,first source frame after final beam-foot contact,source frame review; sixth score inferred as 49.200 - 49.125 + 9.800 = 9.875 when completed beam subtotal first becomes readable
R2-019,R18,01:44:48.800,01:45:58.670,01:44:49,01:45:58,TRUE,01:44:49.650,01:45:57.952,Arizona,Haylie Hendrickson,9.850,01:49:47.000,01:45:57.384,first source frame after final beam-foot contact,source frame review; excluded passive stance and ended at first foot contact
R2-020,R19,01:50:00.610,01:51:08.050,01:50:02,01:51:06,TRUE,01:50:00.994,01:51:06.827,Arizona,Maddi Leydin,9.800,01:54:49.000,01:51:06.059,first source frame after final beam-foot contact,source frame review; mount weight transfer and first foot contact
R2-021,R20,01:55:07.580,01:56:35.710,01:55:08,01:56:35,TRUE,01:55:07.234,01:56:35.055,Arizona,Kennady Schneider,9.800,02:00:36.000,01:56:34.421,first source frame after final beam-foot contact,source frame review; mount initiation and first foot contact
R2-022,R21,02:00:47.730,02:02:04.620,02:00:48,02:02:03,TRUE,02:00:47.407,02:02:03.516,Arizona,Courtney Cowles,9.850,02:05:43.000,02:02:02.982,first source frame after final beam-foot contact,source frame review; mount initiation and first foot contact
R2-023,R22,02:05:52.600,02:06:50.840,02:05:53,02:06:50,TRUE,02:05:52.512,02:06:50.103,Arizona,Victoria Ortiz,9.875,02:10:52.000,02:06:49.368,first source frame after final beam-foot contact,source frame review; mount initiation and first foot contact
R2-024,R23,02:11:04.160,02:12:17.940,02:11:05,,TRUE,02:11:04.356,02:12:16.462,Arizona,Madison Cindric,9.850,02:15:12.750,02:12:15.761,first source frame after final beam-foot contact,source frame review; sixth score inferred as 49.225 - 49.175 + 9.800 = 9.850 when completed beam subtotal first becomes readable
