"Reviewer candidate ID","Final start time","Final end time","Include?","Exclusion reason","Final routine ID","Adjudication note","School","Name","Score","Score available time","Dismount takeoff time","Dismount takeoff note"
"R2-001","00:03:41.717","00:04:58.100","TRUE","","R01","Reviewer 00:03:42–00:04:58; frame-refined","Stanford","Kaylee Cole","9.725","00:08:34","00:04:57",""
"R2-002","00:08:40.750","00:09:54.150","TRUE","","R02","Reviewer 00:08:41–00:09:54; frame-refined","Stanford","Rachael Flam","9.075","00:13:45","00:09:53",""
"R2-003","00:13:55.533","00:15:07.800","TRUE","","R03","Reviewer 00:13:56–00:15:07; frame-refined","Stanford","Elizabeth Price","9.825","00:18:55","00:15:07",""
"R2-004","00:19:09.550","00:20:21.150","TRUE","","R04","Reviewer 00:19:10–00:20:21; excluded salute","Stanford","Lauren Navarro","9.775","00:23:54","00:20:20",""
"R2-005","00:24:01.517","00:25:18.767","TRUE","","R05","Reviewer 00:24:02–00:25:19; frame-refined","Stanford","Kyla Bryant","9.8","00:29:05","00:25:17",""
"R2-006","00:29:14.033","00:30:25.417","TRUE","","R06","Reviewer 00:29:14–00:30:25; frame-refined","Stanford","Taryn Fitzgerald","9.85","","00:30:24",""
"R2-007","00:35:54.417","00:37:09.100","TRUE","","R07","Reviewer 00:35:55–00:37:09; mount action visible although beam is cropped","Arizona State","Cairo Leonard-Baker","9.75","00:40:46","00:37:08",""
"R2-008","00:40:58.567","00:42:08.900","TRUE","","R08","Reviewer 00:40:59–00:42:09; frame-refined","Arizona State","Heather Udowitch","9.8","00:45:51","00:42:08",""
"R2-009","00:45:59.150","00:47:07.200","TRUE","","R09","Reviewer 00:45:59–00:47:07; frame-refined","Arizona State","Anne Kuhm","9.85","00:50:53","00:47:06",""
"R2-010","00:50:58.583","00:51:59.483","TRUE","","R10","Reviewer 00:50:59–00:51:59; excluded passive stance","Arizona State","Morgan Wilson","9.75","00:55:40","00:51:58",""
"R2-011","00:55:49.883","00:57:02.200","TRUE","","R11","Reviewer 00:55:50–00:57:02; frame-refined","Arizona State","Ashley Szafranski","9.875","01:01:00","00:57:01",""
"R2-012","01:01:12.350","01:02:34.867","TRUE","","R12","Reviewer 01:01:13–01:02:35; excluded salute/passive approach","Arizona State","Justine Callis","9.8","","01:02:33",""
"R2-013","01:09:42.183","01:10:52.967","TRUE","","R13","Reviewer 01:09:42–01:10:53; first visible mount frame after cut","Oregon State","McKenna Singley","9.85","01:14:14","01:10:52",""
"R2-014","01:14:24.217","01:15:43.000","TRUE","","R14","Reviewer 01:14:25–01:15:43; frame-refined","Oregon State","Alyssa Minyard","9.825","01:19:49","01:15:42",""
"R2-015","01:20:00","01:21:08","FALSE","mount_not_visible","","Broadcast enters mid-routine; gymnast already on beam","Oregon State","Kaitlyn Yanish","9.8","01:25:13","N/A","Excluded routine: leave blank; mount is not visible"
"R2-016","01:25:22.417","01:26:35.117","TRUE","","R15","Reviewer 01:25:25–01:26:35; cartwheel mount start refined","Oregon State","Maela Lazaro","9.85","01:30:12","01:26:34",""
"R2-017","01:30:21.700","01:31:34.000","TRUE","","R16","Reviewer 01:30:22–01:31:34; frame-refined","Oregon State","Sabrina Gill","9.8","01:36:13","01:31:33",""
"R2-018","01:36:34.467","01:37:44.967","TRUE","","R17","Reviewer 01:36:35–01:37:45; excluded waiting pose","Oregon State","Destinee Davis","9.875","","01:37:44",""
"R2-019","01:44:49.650","01:45:57.967","TRUE","","R18","Reviewer 01:44:49–01:45:58; excluded passive stance","Arizona  ","Haylie Hendrickson","9.85","01:49:47","01:45:57",""
"R2-020","01:50:01.000","01:51:06.533","TRUE","","R19","Reviewer 01:50:02–01:51:06; frame-refined","Arizona  ","Maddi Leydin","9.8","01:54:49","01:51:06",""
"R2-021","01:55:07.233","01:56:35.000","TRUE","","R20","Reviewer 01:55:08–01:56:35; frame-refined","Arizona  ","Kennady Schneider","9.8","02:00:36","01:56:34",""
"R2-022","02:00:47.400","02:02:03.000","TRUE","","R21","Reviewer 02:00:48–02:02:03; frame-refined","Arizona  ","Courtney Cowles","9.85","02:05:43","02:02:03",""
"R2-023","02:05:52.500","02:06:50.000","TRUE","","R22","Reviewer 02:05:53–02:06:50; frame-refined","Arizona  ","Victoria Ortiz","9.875","02:10:52","02:06:49",""
"R2-024","02:11:04.350","02:12:16.467","TRUE","","R23","Reviewer 02:11:05–blank; end completed from source","Arizona  ","Madison Cindric","9.85","","02:12:15",""
